,ma_GeV,ctau_inf,ctau_sup
320,0.0088095581874807,334683.43642837286,10127646554.944061
321,0.0089976364267041,310902.5843830398,9408029035.592863
322,0.0091897300119093,288811.4733116424,8739543713.090338
323,0.0093859246680765,276863.52964755887,7623536108.695836
324,0.0095863079503578,257191.0523789453,6444110210.351045
325,0.0097909692831495,238916.39703951858,5800852977.455835
326,0.01,229032.5756182461,5388674567.321899
327,0.0102134933843682,212758.71165957028,5005783371.213766
328,0.0104315447112532,203957.01414184654,4506101194.1234665
329,0.0106542512897126,189464.88615412422,4056297745.5278053
330,0.0108817125062876,176002.4921652559,3768078226.360327
331,0.0111140298693565,168721.37257482155,3391944896.2617064
332,0.0113513070544343,156732.9023961789,3150930793.4491134
333,0.0115936499504396,150248.95155628535,2836401682.4654994
334,0.0118411667069496,139573.03353174645,2553269160.5904994
335,0.012093967782463,129655.6899921865,2371846956.216157
336,0.0123521659936948,124291.90404102422,2135086716.933958
337,0.012615876565922,115460.35654656772,1983378366.411299
338,0.012885217184405,110683.82128222124,1785395425.3687785
339,0.0131603080469067,102819.19208656113,1607175332.4254522
340,0.013441271917333,95513.38216658252,1446745341.877225
341,0.0137282341805174,91562.03933647639,1302329629.9306927
342,0.0140213228981772,85056.10319964612,1209792663.0519023
343,0.0143206688660623,81537.37060763568,1089029796.4553907
344,0.0146264056723254,75743.73451273769,1011648807.9571496
345,0.0149386697571381,70361.76396374017,969797322.9489199
346,0.0152576004735791,67450.92629412955,872991019.4137214
347,0.0155833401498233,62658.199024782356,810960620.5072299
348,0.015916034152658,60066.05256206008,730009556.2894636
349,0.0162558309523551,55798.055595453276,617070681.1059922
350,0.0166028821889286,51833.32037367674,555473922.0824172
351,0.0169573427398066,49688.99215583196,500025817.3894384
352,0.0173193707889479,46158.3349601757,464496423.98486465
353,0.0176891278974339,44248.77715205131,418129788.9351761
354,0.0180667790755684,41104.673170131406,376391522.56723446
355,0.0184524928565159,39404.18208026856,338819616.62392783
356,0.0188464413715127,36604.309745047445,314744718.44984317
357,0.0192488004266828,35089.99583681141,292380459.30926824
358,0.0196597495814948,32596.667115491022,263194629.07226443
359,0.0200794722288932,31248.14690112238,244493259.56953058
360,0.0205081556771406,29027.800020817554,213272245.24198
361,0.0209459912334068,27826.921681364773,191983091.0936933
362,0.0213931742891435,25849.669357082585,172819046.40884975
363,0.0218499044072802,24012.91060736947,155567980.49727234
364,0.0223163854112834,23019.495556597274,144514029.2826998
365,0.0227928254761154,21383.834382529516,122156388.1449909
366,0.0232794372211363,20499.182746020542,106557381.95866899
367,0.023776437804989,19042.602069699962,98985888.72387902
368,0.0242840490225097,17689.518778259953,81080833.47754012
369,0.0248024974037076,16957.69922485082,68536876.03456202
370,0.0253320143148576,15752.758500450169,16988048.81650952
371,0.0258728360617518,15101.061744090926,15292270.241010422
372,0.0264252039951545,14028.044257966247,14205666.288967812
373,0.026989364618509,13447.698105301684,12391641.063299568
374,0.0275655696979443,12492.160292776814,11154682.681229739
375,0.0281540763746294,12358.037966165895,10362076.467746576
376,0.0287551472795274,11846.778646260733,9327712.188798653
377,0.0293690506505986,11004.993575234443,8136586.623298744
378,0.0299960604525063,10549.709155925932,7324374.490884546
379,0.0306364564988781,9800.087392499761,6389069.300232224
380,0.0312905245771776,9394.649497598535,6124748.105561381
381,0.0319585565762413,8727.100569653248,5689546.235300775
382,0.0326408506165397,8106.984566933362,5121601.6221142
383,0.0333377111832179,7771.589969754177,4610350.278156762
384,0.0340494492619773,7219.367887500129,4150133.0001979163
385,0.0347763824778585,6920.69375390735,3620169.1803483167
386,0.0355188352369866,6428.9322412516385,3470398.009938162
387,0.0362771388713426,6162.958254720218,3223802.7467864845
388,0.0370516317866264,5725.037797122684,2994729.4485861943
389,0.0378426596132754,5488.183802979154,2695786.4021915095
390,0.0386505753607086,5098.209620456008,2426684.5022859355
391,0.0394757395748622,4887.28743476132,2326288.1597817224
392,0.0403185204990896,4540.0101340364145,2029224.262415248
393,0.0411792942384964,4352.180629351613,1826660.05297282
394,0.0420584449277835,4042.925544568578,1644316.2957681569
395,0.042956364902673,3875.6604334524545,1480174.548885216
396,0.0438734548749956,3600.26470235274,1332417.8541237707
397,0.0448101241115145,3451.3125052527694,1277292.3055225061
398,0.045766790616567,3206.069034557811,1114182.8674072472
399,0.0467438813186071,3073.4247737569012,1035011.0632813178
400,0.0477418322607285,2855.032339759659,961464.9048543507
401,0.0487610887952567,2736.910551248891,893144.6601472818
402,0.0498021057824943,2542.42936325543,803986.7577979916
403,0.050865347793711,2437.2400634313453,770722.9805057411
404,0.0519512893184655,2264.052192561024,672301.4221351924
405,0.0530604149763545,2170.3794761188606,605188.7764284322
406,0.0541932197332827,2080.581925461884,544775.5505014106
407,0.0553502091223495,1932.7365975955006,490392.99181701243
408,0.0565318994694512,1852.7704744748123,427769.28652913513
409,0.0577388181237007,1721.1125255849302,397371.9827947962
410,0.0589715036927655,1649.9014424306415,357703.81826177536
411,0.0602305062832305,1532.6585882030583,302362.12598670676
412,0.061516387746092,1469.2440050324224,299114.2452714276
413,0.062829721927494,1364.8379991927939,277858.8761621761
414,0.0641710949248153,1308.3663211889543,258113.8588130829
415,0.0655411053482263,1215.391711319469,232346.98175824355
416,0.0669403645878289,1165.1027989272843,202675.57044107
417,0.0683694970864984,1082.3080082577708,176793.2282045332
418,0.0698291406185531,1037.5249453166332,164229.8511304374
419,0.0713199465743708,994.5945220541817,143257.05149031171
420,0.0728425802510829,923.9154077847886,128955.8216397583
421,0.0743977211494744,885.6851944808006,119791.75453048141
422,0.0759860632772225,822.7448575403597,104493.74951060234
423,0.0776083154586096,788.7002547007847,91149.33638918916
424,0.0792652016508468,732.6514039024382,90169.84446680572
425,0.0809574612671533,702.3341526289012,35825.64851524699
426,0.0826858495067315,673.2711018981503,35440.63131577238
427,0.0844511376917865,625.4242759880134,63734.04105569249
428,0.0862541136117428,599.5431747614505,57371.311809301726
429,0.0880955818748078,556.9353008542863,58568.306908580635
430,0.0899763642670415,533.8877754125475,49506.59892292413
431,0.091897300119093,495.94525554716796,45988.24694033078
432,0.0938592466807654,475.4210736488474,41397.025688333866
433,0.095863079503578,455.7459607907363,38454.9575654473
434,0.0979096928314955,423.3560053034036,35721.956132702835
435,0.1,405.8350095377818,32155.59963967122
436,0.102134933843682,376.991677869516,28945.27398939309
437,0.1043154471125328,361.38895705363683,26055.43780736442
438,0.1065425128971262,346.43170833895414,26598.891448089926
439,0.1088171250628762,321.80946905223016,23943.27304968074
440,0.1111402986935651,308.48980506636025,20238.61117535952
441,0.1135130705443431,295.721164929425,18217.96631276991
442,0.1159364995043969,274.7023507226663,16923.097718421504
443,0.1184116670694962,263.33167688859436,15720.24784651928
444,0.1209396778246307,244.614485598041,14602.877959402738
445,0.1235216599369488,234.48872261067922,13144.856234482237
446,0.1261587656592202,224.7818543178027,11832.396790673098
447,0.1288521718440501,208.80399997593847,10650.968180479627
448,0.1316030804690681,200.1598818279394,9587.489576639666
449,0.13441271917333,191.87336389833789,9787.346477070763
450,0.1372823418051744,178.23399771678046,8016.707032049409
451,0.140213228981772,170.85472376389743,7216.224747124222
452,0.1432066886606232,163.78072442285364,6703.2380965020475
453,0.1462640567232548,152.1376520604676,6226.708965893334
454,0.1493866975713816,145.8381448556884,5784.046649148517
455,0.1525760047357919,135.4701519932782,5372.844528924615
456,0.1558334014982338,129.86034213770228,4836.317388038785
457,0.1591603415265802,124.48260555738352,4937.070464410897
458,0.162558309523551,115.63219322632786,4444.042633495959
459,0.1660288218892863,110.84323450781265,4000.2417627250497
460,0.1695734273980668,106.25239109579098,3175.0352275735017
461,0.1731937078894797,98.6974851822797,2949.279438277267
462,0.1768912789743396,94.60926711511321,2654.7345987634776
463,0.1806677907556844,90.69017525989801,2465.9625153956144
464,0.1845249285651597,86.93321299451485,2290.6079225446756
465,0.1884644137151274,80.75118413339705,2061.8293841140276
466,0.1924880042668281,77.40555023472236,1915.2026108589423
467,0.1965974958149483,74.19832241358537,1723.9088722021702
468,0.2007947222889329,68.92132160437018,1551.7173393189591
469,0.2050815567714062,66.06523479944012,1396.7207811478281
470,0.2094599123340685,63.327301884270085,1257.2023743997374
471,0.2139317428914352,60.702634919801945,1167.7786968050068
472,0.2184990440728028,56.384715304479734,1051.1221676252267
473,0.2231638541128342,54.04740801106628,946.115744959971
474,0.2279282547611543,51.806793089053805,878.8098306254884
475,0.2327943722113634,48.12110977675972,791.0111933183662
476,0.2377643780498904,46.12580680067733,807.4457900769389
477,0.2428404902250976,44.21304773186902,682.4566080189951
478,0.248024974037076,46.57346956302112,614.2669820141557
479,0.2533201431485765,40.6216434460977,552.888136537876
480,0.2587283606175192,37.73085739035777,497.63996789224626
481,0.2642520399515456,36.16553143325653,447.91027588221124
482,0.2698936461850908,34.664961538085116,457.20324264900177
483,0.2756556969794431,33.226468788082805,411.5099712810097
484,0.2815407637462948,31.8474850907182,370.381182122133
485,0.2875514727952746,29.58027964977218,303.34108596789844
486,0.2936905065059864,28.35227259969899,281.74462234017835
487,0.2999606045250638,27.17506695100492,253.58057245383088
488,0.3063645649887819,26.04656107813519,235.52366164992557
489,0.312905245771776,24.19167004120355,211.9770291225221
490,0.319585565762414,23.186717335366165,190.78306170221654
491,0.3264085061653977,22.223338409009326,194.72972494675557
492,0.3333771118321789,21.299813374155097,149.7512077743242
493,0.3404944926197737,20.414493492614547,134.7754343668692
494,0.3477638247785859,19.565798232553202,121.296228501792
495,0.3551883523698662,18.752212446815516,109.16409958952505
496,0.3627713887134263,17.972283667974377,101.3839913807649
497,0.3705163178662644,17.224619515306546,91.24169679948996
498,0.3784265961327549,16.507885209002552,93.12312907271196
499,0.3865057536070861,15.820801187235839,81.2102760323931
500,0.394757395748622,15.162140821803565,68.62750827802057
