,ma_GeV,cl_inf,cl_sup
140,0.0001965974958149,1966.0547469817197,3092551.342786064
141,0.0002007947222889,1824.7570200173861,2962017.0682524075
142,0.0002050815567714,1693.5481269623767,2836881.9150868217
143,0.000209459912334,1621.9353207386462,2716922.4810262676
144,0.0002139317428914,1505.18468136823,2601924.6035844116
145,0.0002184990440728,1396.7756811152597,2491682.9777053325
146,0.0002231638541128,1337.5328672633536,2386000.7892036703
147,0.0002279282547611,1241.0801725152535,2284689.363368194
148,0.0002327943722113,1151.5240243544308,2187567.8281002487
149,0.0002377643780498,1102.5140299375769,2094462.7909719192
150,0.000242840490225,1022.8447214292048,2005208.0296336706
151,0.000248024974037,948.8767621563701,1919644.1950225285
152,0.0002533201431485,908.331618089635,1837618.526834404
153,0.0002587283606175,842.5387834667331,1758984.5807506444
154,0.0002642520399515,806.4311470349242,1683601.966944345
155,0.000269893646185,747.9159646062204,1611336.0993763003
156,0.0002756556969794,715.7598986828622,1542057.9554560652
157,0.0002815407637462,663.7232259605425,1475643.845627677
158,0.0002875514727952,615.4196073178523,1411975.192457116
159,0.0002936905065059,570.5826747759921,1350938.3188512472
160,0.000299960604525,545.8686546742654,1292424.245003158
161,0.0003063645649887,522.176037946738,1236328.4937193696
162,0.0003129052457717,483.9959218104022,1182550.9037667578
163,0.0003195855657624,448.56100264663706,1130995.4509139797
164,0.0003264085061653,415.6752022309053,1081570.0763419764
165,0.0003333771118321,410.16587901020955,1034186.5221086193
166,0.0003404944926197,392.1494594819471,988760.1733890569
167,0.0003477638247785,341.1185321377664,945209.9071872463
168,0.0003551883523698,326.0505909570839,903457.9472581275
169,0.0003627713887134,301.95542932406744,863429.724975066
170,0.0003705163178662,279.5998185395219,825053.7458885764
171,0.0003784265961327,267.13139933065804,788261.461732898
172,0.000386505753607,247.27545299491103,752987.1476517527
173,0.0003947573957486,236.16942231201864,719167.7844098377
174,0.0004031852049908,218.53773985227448,686742.9453813699
175,0.0004117929423849,202.18373220164253,655654.6880951276
176,0.0004205844492778,199.15936256329567,625847.4501449838
177,0.0004295636490267,178.47568037141647,597267.9492570536
