m_a	UL_BF	UL_gagg
2.248	1.09741e-06	0.00364334
2.252	9.0843e-07	0.00333465
2.256	7.93144e-07	0.00313462
2.26	7.12477e-07	0.00298891
2.264	7.30576e-07	0.00304505
2.268	7.15086e-07	0.00303103
2.272	4.60197e-07	0.00244652
2.276	4.20536e-07	0.0023532
2.28	3.70736e-07	0.00222325
2.284	3.76503e-07	0.00225451
2.288	3.73412e-07	0.00225939
2.292	2.8372e-07	0.00198192
2.296	2.90881e-07	0.00201958
2.3	3.28306e-07	0.00215934
2.304	4.10202e-07	0.00242927
2.308	5.41295e-07	0.0028087
2.312	6.7177e-07	0.0031494
2.316	8.15447e-07	0.00349271
2.32	1.01594e-06	0.00392431
2.324	1.16776e-06	0.00423532
2.328	1.28617e-06	0.00447464
2.332	1.35283e-06	0.00462006
2.336	1.41446e-06	0.00475617
2.34	1.452e-06	0.00485175
2.344	1.43134e-06	0.00485019
2.348	1.35213e-06	0.00474667
2.352	1.20838e-06	0.00451845
2.356	1.04631e-06	0.00423397
2.36	9.40062e-07	0.00404152
2.364	8.73417e-07	0.00392324
2.368	8.34094e-07	0.00386126
2.372	9.00563e-07	0.00404098
2.376	9.71189e-07	0.00422677
2.38	1.03329e-06	0.00439154
2.384	1.04721e-06	0.00445339
2.388	9.64802e-07	0.00430609
2.392	9.08015e-07	0.00420844
2.396	8.24798e-07	0.00404092
2.4	7.55978e-07	0.00389776
2.404	6.70025e-07	0.00369727
2.408	6.17498e-07	0.00357644
2.412	6.28934e-07	0.0036371
2.416	6.42264e-07	0.00370384
2.42	6.55578e-07	0.00377114
2.424	6.44312e-07	0.00376788
2.428	6.31017e-07	0.00375821
2.432	6.16458e-07	0.0037441
2.436	6.01349e-07	0.00372751
2.44	6.00162e-07	0.00375381
2.444	5.63503e-07	0.00366686
2.448	5.25563e-07	0.00357019
2.452	4.91318e-07	0.00348031
2.456	4.63741e-07	0.00340924
2.46	5.0391e-07	0.00358348
2.464	5.338e-07	0.00371923
2.468	6.03398e-07	0.00398774
2.472	6.84468e-07	0.0042834
2.476	7.22448e-07	0.00443844
2.48	7.29978e-07	0.00450012
